stem_hi1.aif,stem_hi2.aif,stem_mid.aif,stem_low1.aif,stem_low2.aif
0.009,0.010,0.020,0.620,0.009
0.034,0.010,0.021,0.867,0.011
0.022,0.012,0.018,0.641,0.008
0.014,0.013,0.025,0.637,0.007
0.006,0.015,0.020,0.537,0.007
0.004,0.011,0.019,0.487,0.007
0.002,0.011,0.019,0.442,0.005
0.002,0.010,0.021,0.324,0.006
0.001,0.014,0.016,0.247,0.005
0.001,0.012,0.021,0.142,0.005
0.001,0.015,0.019,0.049,0.004
0.010,0.017,0.018,0.013,0.013
0.039,0.013,0.019,0.016,0.020
0.040,0.011,0.020,0.015,0.018
0.021,0.014,0.017,0.015,0.020
0.013,0.016,0.014,0.011,0.019
0.008,0.017,0.018,0.006,0.017
0.004,0.010,0.016,0.002,0.015
0.003,0.013,0.012,0.000,0.015
0.002,0.009,0.016,0.000,0.016
0.001,0.012,0.015,0.000,0.018
0.001,0.011,0.013,0.000,0.020
0.008,0.013,0.016,0.000,0.018
0.099,0.013,0.017,0.000,0.026
0.164,0.015,0.012,0.000,0.326
0.084,0.012,0.012,0.000,0.279
0.037,0.011,0.016,0.000,0.159
0.016,0.012,0.016,0.000,0.076
0.008,0.008,0.015,0.000,0.043
0.005,0.010,0.020,0.000,0.027
0.003,0.014,0.046,0.000,0.014
0.003,0.016,0.055,0.000,0.017
0.006,0.017,0.052,0.011,0.015
0.096,0.033,0.157,0.348,0.021
0.298,0.029,0.209,0.928,0.215
0.189,0.020,0.072,0.698,0.387
0.153,0.016,0.102,0.630,0.808
0.143,0.011,0.109,0.566,0.797
0.111,0.017,0.109,0.499,0.777
0.087,0.013,0.108,0.432,0.828
0.064,0.019,0.104,0.375,0.709
0.045,0.018,0.099,0.256,0.600
0.038,0.014,0.091,0.182,0.586
0.035,0.021,0.072,0.069,0.660
0.034,0.017,0.065,0.022,0.661
0.063,0.019,0.109,0.013,0.568
0.061,0.017,0.101,0.016,0.524
0.030,0.019,0.088,0.015,0.576
0.014,0.012,0.094,0.012,0.606
0.010,0.019,0.099,0.008,0.549
0.005,0.017,0.104,0.003,0.479
0.003,0.015,0.108,0.000,0.507
0.002,0.017,0.111,0.000,0.551
0.002,0.013,0.095,0.000,0.528
0.002,0.013,0.133,0.006,0.450
0.009,0.013,0.151,0.194,0.452
0.128,0.015,0.087,0.880,0.500
0.246,0.013,0.090,0.728,0.501
0.225,0.013,0.154,0.604,0.439
0.161,0.017,0.261,0.591,0.413
0.117,0.016,0.209,0.491,0.452
0.086,0.013,0.311,0.454,0.469
0.068,0.021,0.482,0.406,0.432
0.051,0.017,0.470,0.266,0.383
0.043,0.021,0.437,0.209,0.408
0.035,0.016,0.415,0.090,0.439
0.035,0.021,0.413,0.030,0.419
0.043,0.016,0.399,0.011,0.319
0.053,0.015,0.381,0.017,0.282
0.052,0.018,0.367,0.015,0.551
0.041,0.023,0.384,0.013,0.944
0.034,0.020,0.305,0.009,0.875
0.025,0.022,0.136,0.004,0.737
0.019,0.018,0.121,0.001,0.607
0.016,0.026,0.131,0.000,0.629
0.013,0.029,0.147,0.000,0.703
0.016,0.019,0.115,0.000,0.670
0.170,0.018,0.140,0.000,0.566
0.900,0.019,0.358,0.000,0.543
0.705,0.024,0.310,0.000,0.587
0.401,0.019,0.251,0.000,0.418
0.195,0.023,0.271,0.000,0.265
0.076,0.024,0.315,0.000,0.265
0.035,0.016,0.353,0.000,0.244
0.018,0.019,0.332,0.000,0.166
0.011,0.018,0.326,0.000,0.128
0.007,0.018,0.212,0.000,0.112
0.006,0.024,0.160,0.000,0.087
0.005,0.022,0.148,0.000,0.074
0.005,0.020,0.151,0.000,0.070
0.004,0.018,0.161,0.000,0.065
0.004,0.015,0.149,0.000,0.071
0.003,0.015,0.143,0.000,0.063
0.003,0.018,0.128,0.000,0.066
0.003,0.018,0.123,0.000,0.066
0.003,0.022,0.114,0.000,0.042
0.002,0.025,0.087,0.000,0.031
0.002,0.023,0.085,0.000,0.037
0.002,0.024,0.110,0.000,0.042
0.002,0.016,0.144,0.000,0.040
0.004,0.018,0.126,0.000,0.024
0.016,0.017,0.193,0.000,0.030
0.018,0.019,0.270,0.000,0.026
0.012,0.018,0.274,0.000,0.022
0.009,0.017,0.341,0.000,0.023
0.006,0.016,0.433,0.000,0.021
0.004,0.015,0.450,0.000,0.020
0.003,0.017,0.404,0.000,0.019
0.001,0.022,0.340,0.000,0.022
0.001,0.026,0.297,0.000,0.024
0.001,0.035,0.251,0.000,0.018
0.007,0.031,0.265,0.000,0.033
0.035,0.054,0.274,0.000,0.395
0.041,0.027,0.276,0.000,0.322
0.037,0.025,0.276,0.000,0.184
0.021,0.020,0.268,0.000,0.119
0.015,0.016,0.252,0.000,0.069
0.009,0.014,0.231,0.000,0.034
0.006,0.019,0.246,0.000,0.020
0.004,0.020,0.194,0.000,0.018
0.003,0.026,0.100,0.000,0.023
0.001,0.025,0.097,0.020,0.029
0.004,0.027,0.269,0.508,0.023
0.017,0.038,0.359,0.969,0.047
0.021,0.028,0.416,0.680,0.160
0.011,0.013,0.416,0.637,0.592
0.008,0.015,0.274,0.546,0.914
0.005,0.012,0.219,0.498,0.812
0.003,0.018,0.205,0.439,0.731
0.002,0.022,0.200,0.354,0.688
0.002,0.018,0.194,0.252,0.660
0.001,0.017,0.206,0.167,0.655
0.001,0.013,0.208,0.060,0.654
0.005,0.019,0.243,0.018,0.649
0.020,0.018,0.294,0.008,0.643
0.021,0.021,0.274,0.006,0.638
0.023,0.026,0.257,0.002,0.632
0.013,0.024,0.269,0.001,0.626
0.007,0.030,0.234,0.000,0.621
0.004,0.020,0.213,0.000,0.616
0.003,0.026,0.227,0.000,0.610
0.002,0.044,0.242,0.000,0.604
0.001,0.022,0.272,0.000,0.598
0.001,0.022,0.295,0.000,0.592
0.003,0.021,0.312,0.000,0.585
0.028,0.018,0.314,0.000,0.578
0.027,0.013,0.293,0.000,0.571
0.018,0.014,0.300,0.000,0.563
0.010,0.018,0.300,0.000,0.555
0.006,0.014,0.258,0.000,0.546
0.004,0.015,0.240,0.000,0.537
0.003,0.015,0.244,0.000,0.528
0.002,0.020,0.230,0.000,0.519
0.002,0.014,0.216,0.000,0.509
0.015,0.019,0.213,0.000,0.500
0.337,0.014,0.209,0.000,0.491
0.934,0.013,0.200,0.000,0.484
0.632,0.015,0.202,0.000,0.453
0.347,0.017,0.220,0.000,0.371
0.160,0.018,0.226,0.000,0.456
0.063,0.015,0.224,0.000,0.531
0.029,0.016,0.238,0.000,0.456
0.015,0.015,0.262,0.000,0.433
0.010,0.014,0.266,0.000,0.409
0.007,0.013,0.266,0.000,0.397
0.006,0.024,0.265,0.000,0.389
0.005,0.032,0.263,0.000,0.373
0.005,0.015,0.265,0.000,0.372
0.004,0.015,0.250,0.000,0.363
0.004,0.014,0.255,0.000,0.346
0.003,0.025,0.243,0.000,0.223
0.003,0.020,0.224,0.000,0.088
0.003,0.016,0.205,0.000,0.031
0.003,0.016,0.178,0.000,0.015
0.002,0.019,0.171,0.000,0.007
0.002,0.016,0.190,0.000,0.005
0.002,0.016,0.208,0.004,0.004
0.002,0.014,0.203,0.113,0.004
0.006,0.018,0.190,0.853,0.003
0.017,0.016,0.187,0.796,0.003
0.014,0.013,0.172,0.599,0.003
0.009,0.014,0.177,0.609,0.003
0.006,0.011,0.189,0.517,0.003
0.003,0.014,0.190,0.481,0.002
0.002,0.014,0.195,0.418,0.002
0.001,0.015,0.191,0.290,0.002
0.001,0.013,0.162,0.232,0.002
0.000,0.015,0.130,0.114,0.002
0.000,0.014,0.118,0.038,0.003
0.001,0.011,0.122,0.008,0.015
0.001,0.011,0.114,0.008,0.055
0.002,0.012,0.103,0.004,0.374
0.002,0.013,0.102,0.002,0.227
0.001,0.011,0.102,0.001,0.120
0.001,0.012,0.103,0.000,0.064
0.001,0.015,0.105,0.000,0.037
0.001,0.015,0.100,0.000,0.022
0.001,0.013,0.094,0.000,0.014
0.001,0.020,0.090,0.000,0.017
0.001,0.021,0.091,0.000,0.022
0.007,0.016,0.085,0.000,0.023
0.038,0.017,0.058,0.000,0.030
0.041,0.014,0.047,0.000,0.256
0.031,0.011,0.042,0.000,0.237
0.021,0.014,0.033,0.000,0.147
0.015,0.015,0.031,0.000,0.109
0.010,0.016,0.036,0.000,0.071
0.006,0.015,0.034,0.000,0.050
0.005,0.017,0.033,0.000,0.026
0.003,0.021,0.042,0.000,0.020
0.002,0.034,0.036,0.029,0.019
0.009,0.029,0.021,0.610,0.019
0.034,0.020,0.020,0.940,0.044
0.023,0.015,0.036,0.667,0.103
0.015,0.020,0.055,0.641,0.315
0.007,0.024,0.039,0.539,0.552
0.004,0.027,0.050,0.494,0.397
0.002,0.024,0.071,0.442,0.353
0.002,0.025,0.091,0.338,0.328
0.001,0.026,0.103,0.249,0.310
0.001,0.025,0.120,0.154,0.293
0.001,0.019,0.129,0.053,0.279
0.006,0.021,0.106,0.015,0.265
0.015,0.026,0.063,0.015,0.250
0.022,0.028,0.054,0.015,0.234
0.022,0.019,0.049,0.015,0.218
0.013,0.017,0.045,0.011,0.207
0.007,0.020,0.046,0.007,0.198
0.004,0.016,0.048,0.002,0.187
0.002,0.022,0.052,0.000,0.177
0.002,0.021,0.051,0.000,0.166
0.001,0.020,0.050,0.000,0.157
0.001,0.027,0.026,0.019,0.150
0.002,0.029,0.021,0.416,0.141
0.008,0.066,0.024,0.984,0.135
0.012,0.031,0.031,0.699,0.128
0.009,0.018,0.119,0.630,0.121
0.005,0.018,0.117,0.565,0.116
0.002,0.012,0.078,0.497,0.110
0.002,0.022,0.105,0.430,0.105
0.002,0.043,0.149,0.373,0.101
0.001,0.029,0.219,0.255,0.095
0.001,0.018,0.274,0.180,0.092
0.001,0.017,0.332,0.068,0.088
0.005,0.018,0.301,0.022,0.092
0.047,0.016,0.173,0.013,0.112
0.081,0.022,0.161,0.016,0.172
0.054,0.019,0.149,0.015,0.547
0.030,0.018,0.135,0.012,0.558
0.014,0.022,0.127,0.008,0.440
0.007,0.019,0.119,0.003,0.424
0.004,0.022,0.089,0.000,0.402
0.003,0.016,0.069,0.000,0.388
0.002,0.018,0.056,0.000,0.382
0.018,0.016,0.070,0.000,0.380
0.340,0.014,0.082,0.000,0.373
0.943,0.017,0.253,0.000,0.361
0.682,0.021,0.264,0.000,0.358
0.453,0.016,0.268,0.000,0.354
0.286,0.018,0.309,0.000,0.345
0.192,0.018,0.383,0.000,0.337
0.150,0.020,0.318,0.000,0.337
0.125,0.019,0.227,0.000,0.333
0.098,0.019,0.303,0.000,0.328
0.086,0.021,0.340,0.000,0.325
0.072,0.022,0.376,0.000,0.319
0.065,0.025,0.333,0.000,0.311
0.062,0.018,0.322,0.000,0.299
0.065,0.025,0.312,0.000,0.294
0.058,0.040,0.286,0.000,0.290
0.043,0.020,0.296,0.000,0.283
0.034,0.029,0.285,0.000,0.271
0.025,0.025,0.266,0.000,0.267
0.019,0.022,0.283,0.000,0.260
0.016,0.019,0.279,0.000,0.249
0.014,0.022,0.213,0.000,0.240
0.012,0.022,0.169,0.000,0.238
0.008,0.026,0.158,0.000,0.232
0.006,0.028,0.173,0.000,0.245
